Date,City,Temperature_C,Humidity_%,Wind_Speed_km_h,Precipitation_mm,Condition
2025-01-05,Sydney,35.9,65,34.8,6.17,Stormy
2025-01-05,Toronto,10.3,86,28.3,0.0,Foggy
2025-01-05,Berlin,42.2,87,34.5,4.49,Rainy
2025-01-05,Mumbai,43.5,62,38.6,0.0,Foggy
2025-01-05,Singapore,11.3,72,22.3,1.34,Foggy
2025-01-06,Riyadh,15.5,73,20.9,0.27,Foggy
2025-01-06,Jeddah,25.4,41,22.4,6.61,Rainy
2025-01-06,Dammam,41.9,67,27.2,3.0,Sunny
2025-01-06,Dubai,5.9,73,36.8,1.04,Sunny
2025-01-06,Doha,21.9,79,17.3,0.87,Windy
2025-01-06,Cairo,11.7,52,16.6,3.78,Stormy
2025-01-06,London,29.5,94,28.9,0.32,Windy
2025-01-06,New York,40.9,27,12.5,0.0,Sunny
2025-01-06,Tokyo,9.3,44,13.6,6.14,Partly Cloudy
2025-01-06,Paris,9.2,21,24.5,2.76,Cloudy
2025-01-06,Sydney,30.9,29,33.0,4.31,Windy
2025-01-06,Toronto,37.9,88,0.3,9.98,Sunny
2025-01-06,Berlin,43.4,57,20.5,0.0,Sunny
2025-01-06,Mumbai,8.2,58,37.1,6.37,Cloudy
2025-01-06,Singapore,15.3,74,16.1,1.71,Partly Cloudy
2025-01-07,Riyadh,36.4,63,24.0,6.96,Windy
2025-01-07,Jeddah,13.1,48,21.3,4.12,Sunny
2025-01-07,Dammam,8.8,33,4.3,0.0,Rainy
2025-01-07,Dubai,17.3,87,21.5,3.9,Sunny
2025-01-07,Doha,33.9,67,22.3,0.82,Rainy
2025-01-07,Cairo,32.1,34,35.5,0.0,Foggy
2025-01-07,London,9.8,94,27.9,5.43,Windy
2025-01-07,New York,40.3,48,11.7,5.18,Partly Cloudy
2025-01-07,Tokyo,40.1,74,30.8,8.42,Sunny
2025-01-07,Paris,42.7,38,16.1,10.38,Partly Cloudy
2025-01-07,Sydney,35.7,88,6.8,4.5,Foggy
2025-01-07,Toronto,23.6,67,35.8,0.0,Partly Cloudy
2025-01-07,Berlin,37.8,28,0.2,6.8,Stormy
2025-01-07,Mumbai,20.3,67,34.9,9.94,Partly Cloudy
2025-01-07,Singapore,25.1,24,9.7,0.0,Stormy
2025-01-08,Riyadh,40.2,75,26.4,2.15,Sunny
2025-01-08,Jeddah,30.4,45,20.2,9.65,Foggy
2025-01-08,Dammam,44.0,60,24.6,0.0,Rainy
2025-01-08,Dubai,38.8,86,4.2,8.74,Rainy
2025-01-08,Doha,29.4,70,30.8,0.71,Foggy
2025-01-08,Cairo,6.3,40,10.9,0.45,Rainy
2025-01-08,London,35.5,70,34.7,0.0,Cloudy
2025-01-08,New York,34.7,22,35.4,9.72,Foggy
2025-01-08,Tokyo,38.3,32,1.6,0.0,Stormy
2025-01-08,Paris,13.8,80,34.8,4.32,Sunny
2025-01-08,Sydney,40.9,32,26.4,0.0,Sunny
2025-01-08,Toronto,18.3,45,29.2,1.47,Partly Cloudy
2025-01-08,Berlin,10.3,76,17.1,8.12,Cloudy
2025-01-08,Mumbai,26.8,81,23.8,8.45,Cloudy
2025-01-08,Singapore,24.8,94,13.3,4.01,Partly Cloudy
2025-01-09,Riyadh,42.5,92,36.5,1.46,Partly Cloudy
2025-01-09,Jeddah,31.5,89,4.5,0.0,Cloudy
2025-01-09,Dammam,13.0,40,13.2,0.0,Stormy
2025-01-09,Dubai,9.2,62,5.2,11.73,Foggy
2025-01-09,Doha,36.2,80,19.2,0.0,Cloudy
2025-01-09,Cairo,19.4,54,3.6,5.54,Partly Cloudy
2025-01-09,London,36.6,50,2.0,8.89,Rainy
2025-01-09,New York,18.1,45,13.6,0.0,Windy
2025-01-09,Tokyo,41.5,85,25.8,0.12,Partly Cloudy
2025-01-09,Paris,12.7,28,15.0,0.0,Foggy
2025-01-09,Sydney,37.4,55,6.0,0.0,Cloudy
2025-01-09,Toronto,8.4,41,20.8,9.2,Windy
2025-01-09,Berlin,10.8,37,37.7,2.52,Rainy
2025-01-09,Mumbai,33.3,46,38.7,8.58,Sunny
2025-01-09,Singapore,15.3,44,0.6,0.0,Rainy
2025-01-10,Riyadh,32.4,44,20.4,9.12,Sunny
2025-01-10,Jeddah,36.2,56,0.9,0.0,Cloudy
2025-01-10,Dammam,28.5,47,33.9,0.7,Cloudy
2025-01-10,Dubai,13.2,81,19.8,3.36,Sunny
2025-01-10,Doha,27.2,89,22.9,8.97,Foggy
2025-01-10,Cairo,21.9,77,20.5,4.73,Windy
2025-01-10,London,11.7,75,28.1,0.0,Partly Cloudy
2025-01-10,New York,15.1,30,19.8,6.28,Sunny
2025-01-10,Tokyo,8.5,82,29.5,0.0,Cloudy
2025-01-10,Paris,42.3,91,28.7,0.0,Partly Cloudy
2025-01-10,Sydney,28.7,85,5.2,2.65,Partly Cloudy
2025-01-10,Toronto,20.8,74,21.3,4.39,Rainy
2025-01-10,Berlin,20.5,92,12.5,2.54,Rainy
2025-01-10,Mumbai,21.8,83,18.1,3.11,Windy
2025-01-10,Singapore,15.6,88,18.1,0.74,Sunny
2025-01-11,Riyadh,27.8,81,40.0,0.0,Stormy
2025-01-11,Jeddah,20.2,58,21.0,4.09,Rainy
2025-01-11,Dammam,40.1,94,34.0,0.0,Partly Cloudy
2025-01-11,Dubai,35.5,24,20.2,0.0,Rainy
2025-01-11,Doha,26.3,84,11.7,0.0,Cloudy
2025-01-11,Cairo,39.9,35,39.6,8.09,Partly Cloudy
2025-01-11,London,22.4,60,3.1,7.94,Stormy
2025-01-11,New York,13.9,48,26.5,3.77,Cloudy
2025-01-11,Tokyo,32.6,58,33.3,3.37,Cloudy
2025-01-11,Paris,42.4,29,7.7,7.93,Stormy
2025-01-11,Sydney,6.3,68,27.9,0.0,Stormy
2025-01-11,Toronto,29.7,52,7.9,1.11,Foggy
2025-01-11,Berlin,12.1,64,21.5,12.65,Foggy
2025-01-11,Mumbai,42.0,26,38.5,3.43,Partly Cloudy
2025-01-11,Singapore,31.7,27,26.4,3.2,Stormy
2025-01-12,Riyadh,5.0,92,37.9,6.73,Windy
2025-01-12,Jeddah,13.4,79,5.1,0.61,Sunny
2025-01-12,Dammam,28.9,52,13.1,1.33,Windy
2025-01-12,Dubai,12.5,40,30.8,0.0,Stormy
2025-01-12,Doha,14.1,27,27.0,0.0,Cloudy
2025-01-12,Cairo,7.0,36,30.5,2.93,Rainy
2025-01-12,London,19.8,42,15.3,6.41,Rainy
2025-01-12,New York,5.8,73,19.4,7.54,Sunny
2025-01-12,Tokyo,23.5,24,25.6,0.52,Stormy
2025-01-12,Paris,33.2,42,32.9,7.42,Rainy
2025-01-12,Sydney,22.3,90,16.5,1.45,Partly Cloudy
2025-01-12,Toronto,18.3,81,18.7,16.41,Windy
2025-01-12,Berlin,18.0,39,10.3,6.14,Cloudy
2025-01-12,Mumbai,35.3,87,5.9,7.51,Stormy
2025-01-12,Singapore,27.2,65,39.8,12.26,Foggy
2025-01-13,Riyadh,30.5,85,34.2,1.1,Windy
2025-01-13,Jeddah,22.8,60,18.8,3.3,Rainy
2025-01-13,Dammam,37.0,40,9.2,0.0,Rainy
2025-01-13,Dubai,22.5,80,11.1,0.0,Stormy
2025-01-13,Doha,20.4,44,0.7,7.34,Cloudy
2025-01-13,Cairo,34.2,77,12.4,5.92,Foggy
2025-01-13,London,37.5,48,8.6,10.22,Sunny
2025-01-13,New York,33.0,35,16.4,5.5,Partly Cloudy
2025-01-13,Tokyo,34.1,29,7.3,5.62,Rainy
2025-01-13,Paris,33.8,75,5.7,1.87,Stormy
2025-01-13,Sydney,12.8,93,4.1,5.34,Rainy
2025-01-13,Toronto,41.1,84,4.5,8.63,Foggy
2025-01-13,Berlin,29.5,23,9.5,0.0,Partly Cloudy
2025-01-13,Mumbai,29.8,64,7.0,1.44,Partly Cloudy
2025-01-13,Singapore,40.0,43,22.2,4.4,Cloudy
2025-01-14,Riyadh,40.2,44,32.4,0.0,Stormy
2025-01-14,Jeddah,17.7,92,20.6,6.2,Rainy
2025-01-14,Dammam,9.6,89,13.6,3.99,Foggy
2025-01-14,Dubai,13.9,61,16.9,0.0,Cloudy
2025-01-14,Doha,26.5,44,0.1,10.27,Sunny
2025-01-14,Cairo,26.8,33,5.3,0.0,Foggy
2025-01-14,London,40.5,46,24.5,0.48,Cloudy
2025-01-14,New York,20.0,38,3.2,1.17,Sunny
2025-01-14,Tokyo,31.3,86,35.1,2.07,Windy
2025-01-14,Paris,36.3,68,11.9,3.89,Windy
2025-01-14,Sydney,23.5,83,0.9,5.8,Windy
2025-01-14,Toronto,26.5,43,31.7,0.0,Partly Cloudy
2025-01-14,Berlin,23.8,25,4.0,8.94,Stormy
2025-01-14,Mumbai,43.8,40,18.3,8.86,Rainy
2025-01-14,Singapore,20.0,37,10.6,9.65,Rainy
2025-01-15,Riyadh,11.8,30,11.3,1.13,Partly Cloudy
2025-01-15,Jeddah,24.5,40,31.5,0.0,Partly Cloudy
2025-01-15,Dammam,14.9,82,13.3,6.06,Rainy
2025-01-15,Dubai,8.2,50,34.9,7.23,Rainy
2025-01-15,Doha,29.7,44,28.7,3.34,Foggy
2025-01-15,Cairo,44.4,58,5.5,0.0,Cloudy
2025-01-15,London,15.4,91,29.0,5.97,Rainy
2025-01-15,New York,11.1,84,9.8,0.7,Rainy
2025-01-15,Tokyo,20.6,74,9.3,0.0,Foggy
2025-01-15,Paris,33.1,21,21.6,0.0,Windy
2025-01-15,Sydney,5.9,93,21.4,11.38,Rainy
2025-01-15,Toronto,30.4,55,27.4,1.89,Stormy
2025-01-15,Berlin,18.5,59,2.2,0.62,Rainy
2025-01-15,Mumbai,35.0,28,2.3,10.01,Stormy
2025-01-15,Singapore,19.2,76,10.1,3.48,Partly Cloudy
2025-01-16,Riyadh,24.7,27,30.9,6.73,Cloudy
2025-01-16,Jeddah,38.6,74,17.4,1.19,Foggy
2025-01-16,Dammam,39.4,67,10.6,0.0,Sunny
2025-01-16,Dubai,35.8,92,36.1,0.0,Partly Cloudy
2025-01-16,Doha,21.5,29,1.0,1.79,Rainy
2025-01-16,Cairo,20.8,84,0.7,0.0,Cloudy
2025-01-16,London,9.7,37,26.4,3.84,Partly Cloudy
2025-01-16,New York,28.3,80,28.9,2.18,Windy
2025-01-16,Tokyo,21.7,87,14.6,5.33,Stormy
2025-01-16,Paris,39.3,28,37.6,2.48,Rainy
2025-01-16,Sydney,8.0,91,16.0,0.0,Partly Cloudy
2025-01-16,Toronto,39.7,82,24.5,0.38,Sunny
2025-01-16,Berlin,40.4,69,5.8,1.71,Rainy
2025-01-16,Mumbai,16.5,59,29.4,14.11,Rainy
2025-01-16,Singapore,30.6,34,4.6,0.0,Rainy
2025-01-17,Riyadh,27.4,86,12.7,0.0,Windy
2025-01-17,Jeddah,23.5,91,7.4,1.43,Windy
2025-01-17,Dammam,13.1,86,29.2,8.95,Rainy
2025-01-17,Dubai,29.0,47,17.0,0.02,Stormy
2025-01-17,Doha,29.7,72,12.4,1.42,Windy
2025-01-17,Cairo,44.3,89,1.2,1.74,Partly Cloudy
2025-01-17,London,31.8,68,22.4,0.0,Windy
2025-01-17,New York,9.4,33,12.1,5.6,Stormy
2025-01-17,Tokyo,5.1,35,17.6,6.91,Cloudy
2025-01-17,Paris,10.1,42,18.5,3.43,Foggy
2025-01-17,Sydney,43.0,67,39.8,5.21,Partly Cloudy
2025-01-17,Toronto,32.6,38,14.0,0.0,Rainy
2025-01-17,Berlin,7.1,73,30.8,0.01,Foggy
2025-01-17,Mumbai,19.7,87,17.1,3.74,Sunny
2025-01-17,Singapore,20.2,67,13.9,0.41,Windy
2025-01-18,Riyadh,9.7,80,18.1,8.68,Partly Cloudy
2025-01-18,Jeddah,16.7,87,11.4,0.0,Cloudy
2025-01-18,Dammam,13.5,54,5.1,0.0,Sunny
2025-01-18,Dubai,30.1,31,4.2,0.0,Sunny
2025-01-18,Doha,14.2,39,13.8,3.48,Sunny
2025-01-18,Cairo,40.0,72,3.4,0.0,Cloudy
2025-01-18,London,20.5,35,32.7,0.0,Foggy
2025-01-18,New York,33.3,44,31.6,1.87,Cloudy
2025-01-18,Tokyo,42.5,44,2.3,0.03,Foggy
2025-01-18,Paris,19.7,63,38.5,7.07,Stormy
2025-01-18,Sydney,15.0,31,22.6,2.78,Rainy
2025-01-18,Toronto,40.0,24,0.9,7.09,Cloudy
2025-01-18,Berlin,30.5,90,8.1,6.28,Windy
2025-01-18,Mumbai,34.9,87,36.6,2.18,Rainy
2025-01-18,Singapore,37.6,77,23.5,0.0,Rainy
2025-01-19,Riyadh,20.1,61,13.2,6.42,Sunny
2025-01-19,Jeddah,43.5,60,4.0,0.58,Partly Cloudy
2025-01-19,Dammam,15.2,86,24.5,0.0,Cloudy
2025-01-19,Dubai,20.7,85,7.4,3.91,Rainy
2025-01-19,Doha,42.0,77,35.8,0.67,Partly Cloudy
2025-01-19,Cairo,12.3,49,33.6,0.52,Stormy
2025-01-19,London,36.2,78,37.8,5.5,Sunny
2025-01-19,New York,23.5,72,25.3,4.97,Windy
2025-01-19,Tokyo,34.6,94,19.4,4.44,Cloudy
2025-01-19,Paris,38.6,28,4.9,0.0,Stormy
2025-01-19,Sydney,6.6,73,5.0,8.29,Foggy
2025-01-19,Toronto,26.5,54,12.1,0.0,Rainy
2025-01-19,Berlin,26.3,55,7.2,0.0,Rainy
2025-01-19,Mumbai,7.8,57,28.7,1.75,Stormy
2025-01-19,Singapore,26.3,89,12.7,3.22,Windy
2025-01-20,Riyadh,43.5,91,39.3,3.91,Rainy
2025-01-20,Jeddah,44.5,78,38.9,2.3,Foggy
2025-01-20,Dammam,12.5,54,6.9,3.53,Sunny
2025-01-20,Dubai,11.7,29,1.3,4.49,Cloudy
2025-01-20,Doha,15.6,78,18.1,0.0,Stormy
2025-01-20,Cairo,11.5,68,10.5,5.21,Stormy
2025-01-20,London,41.8,37,22.2,4.72,Foggy
2025-01-20,New York,28.0,76,0.8,0.0,Cloudy
2025-01-20,Tokyo,40.6,82,21.4,0.0,Partly Cloudy
2025-01-20,Paris,10.3,80,21.0,0.0,Foggy
2025-01-20,Sydney,41.4,57,19.3,2.65,Foggy
2025-01-20,Toronto,5.1,95,4.6,4.44,Windy
2025-01-20,Berlin,35.1,44,24.8,4.5,Cloudy
2025-01-20,Mumbai,17.8,42,6.0,10.15,Windy
2025-01-20,Singapore,22.0,81,5.9,0.0,Windy
2025-01-21,Riyadh,36.3,56,5.3,3.56,Stormy
2025-01-21,Jeddah,23.8,94,20.3,3.45,Stormy
2025-01-21,Dammam,15.0,41,28.5,2.03,Stormy
2025-01-21,Dubai,14.8,33,30.1,12.42,Sunny
2025-01-21,Doha,44.7,22,6.6,0.85,Windy
2025-01-21,Cairo,13.2,42,9.6,0.0,Foggy
2025-01-21,London,38.2,79,35.8,0.0,Windy
2025-01-21,New York,26.4,61,11.7,6.79,Rainy
2025-01-21,Tokyo,13.3,94,32.2,3.51,Rainy
2025-01-21,Paris,28.0,37,35.7,4.75,Sunny
2025-01-21,Sydney,6.7,90,36.8,0.0,Rainy
2025-01-21,Toronto,25.9,37,28.1,9.65,Rainy
2025-01-21,Berlin,23.6,37,1.7,2.92,Cloudy
2025-01-21,Mumbai,18.9,47,7.0,4.01,Partly Cloudy
2025-01-21,Singapore,25.6,72,24.5,6.83,Windy
2025-01-22,Riyadh,10.5,91,0.7,2.6,Rainy
2025-01-22,Jeddah,7.3,60,7.1,4.65,Rainy
2025-01-22,Dammam,15.5,47,25.6,3.47,Partly Cloudy
2025-01-22,Dubai,21.8,85,12.9,4.82,Windy
2025-01-22,Doha,28.6,78,25.4,2.2,Stormy
2025-01-22,Cairo,29.8,52,7.2,4.56,Rainy
2025-01-22,London,25.5,87,31.7,0.0,Windy
2025-01-22,New York,5.0,22,36.6,5.45,Rainy
2025-01-22,Tokyo,31.0,75,5.5,8.87,Rainy
2025-01-22,Paris,26.3,94,25.7,8.99,Windy
2025-01-22,Sydney,6.8,26,5.6,0.0,Partly Cloudy
2025-01-22,Toronto,40.5,51,5.3,4.21,Rainy
2025-01-22,Berlin,37.1,84,28.0,2.13,Rainy
2025-01-22,Mumbai,7.5,57,28.4,0.0,Cloudy
2025-01-22,Singapore,16.6,33,8.8,0.0,Rainy
2025-01-23,Riyadh,33.9,36,20.0,0.0,Stormy
2025-01-23,Jeddah,28.5,78,13.0,9.14,Partly Cloudy
2025-01-23,Dammam,9.7,76,4.0,3.17,Stormy
2025-01-23,Dubai,34.5,93,32.5,1.44,Stormy
2025-01-23,Doha,5.5,57,23.9,0.0,Rainy
2025-01-23,Cairo,34.2,22,36.1,4.51,Rainy
2025-01-23,London,19.5,92,27.3,0.0,Cloudy
2025-01-23,New York,44.9,87,34.1,0.17,Partly Cloudy
2025-01-23,Tokyo,7.8,22,33.6,0.69,Rainy
2025-01-23,Paris,12.3,75,26.1,4.83,Windy
2025-01-23,Sydney,30.0,42,26.8,9.0,Windy
2025-01-23,Toronto,42.5,73,16.1,0.0,Foggy
2025-01-23,Berlin,21.9,86,7.7,7.48,Stormy
2025-01-23,Mumbai,30.4,58,35.9,4.9,Partly Cloudy
2025-01-23,Singapore,23.3,72,6.0,8.18,Cloudy
2025-01-24,Riyadh,32.0,44,14.1,3.58,Cloudy
2025-01-24,Jeddah,39.8,22,12.7,8.09,Partly Cloudy
2025-01-24,Dammam,42.2,44,8.8,0.0,Sunny
2025-01-24,Dubai,29.1,34,18.4,0.0,Stormy
2025-01-24,Doha,19.7,73,12.9,8.38,Stormy
2025-01-24,Cairo,23.0,34,31.6,1.88,Foggy
2025-01-24,London,20.8,24,3.6,0.0,Foggy
2025-01-24,New York,10.8,21,38.3,2.67,Rainy
2025-01-24,Tokyo,34.7,60,11.9,2.29,Windy
2025-01-24,Paris,41.2,79,19.2,0.0,Stormy
2025-01-24,Sydney,33.4,37,3.4,5.97,Stormy
2025-01-24,Toronto,40.6,33,12.9,0.0,Stormy
2025-01-24,Berlin,16.5,43,5.0,8.71,Windy
2025-01-24,Mumbai,10.9,84,5.3,2.54,Foggy
2025-01-24,Singapore,20.0,38,5.6,7.34,Partly Cloudy
2025-01-25,Riyadh,24.7,87,4.5,5.3,Partly Cloudy
2025-01-25,Jeddah,7.9,79,8.9,2.28,Windy
2025-01-25,Dammam,8.1,44,26.3,0.0,Stormy
2025-01-25,Dubai,23.5,37,15.5,0.0,Sunny
2025-01-25,Doha,44.7,87,23.6,12.01,Sunny
2025-01-25,Cairo,27.4,67,23.8,0.0,Sunny
2025-01-25,London,41.6,78,20.6,10.52,Foggy
2025-01-25,New York,20.6,65,19.5,1.75,Stormy
2025-01-25,Tokyo,25.9,40,38.5,1.72,Partly Cloudy
2025-01-25,Paris,43.6,34,26.7,9.21,Foggy
2025-01-25,Sydney,10.1,64,11.2,5.42,Foggy
2025-01-25,Toronto,28.6,56,29.8,0.0,Partly Cloudy
2025-01-25,Berlin,30.5,68,17.8,0.0,Partly Cloudy
2025-01-25,Mumbai,12.5,22,38.7,4.33,Cloudy
2025-01-25,Singapore,34.0,84,0.6,0.0,Sunny
2025-01-26,Riyadh,35.2,25,1.4,5.52,Foggy
2025-01-26,Jeddah,35.8,32,26.6,9.78,Rainy
2025-01-26,Dammam,16.5,93,22.4,0.0,Sunny
2025-01-26,Dubai,37.2,50,18.6,9.88,Sunny
2025-01-26,Doha,19.0,33,36.9,3.09,Sunny
2025-01-26,Cairo,9.4,73,17.2,1.97,Cloudy
2025-01-26,London,38.4,59,16.6,2.5,Cloudy
2025-01-26,New York,33.9,28,30.1,10.9,Sunny
2025-01-26,Tokyo,25.4,88,6.9,8.71,Partly Cloudy
2025-01-26,Paris,40.6,71,34.6,3.37,Windy
2025-01-26,Sydney,7.4,75,20.6,0.72,Cloudy
2025-01-26,Toronto,12.1,69,24.5,0.0,Sunny
2025-01-26,Berlin,14.0,54,38.1,0.0,Cloudy
2025-01-26,Mumbai,24.3,34,4.1,3.09,Foggy
2025-01-26,Singapore,8.1,72,12.3,0.0,Stormy
2025-01-27,Riyadh,15.0,59,34.7,3.88,Rainy
2025-01-27,Jeddah,12.1,94,10.5,12.53,Rainy
2025-01-27,Dammam,11.8,44,4.7,6.73,Foggy
2025-01-27,Dubai,6.1,49,15.9,3.39,Partly Cloudy
2025-01-27,Doha,15.6,35,23.6,0.0,Windy
2025-01-27,Cairo,44.3,73,34.3,2.9,Foggy
2025-01-27,London,32.8,35,25.4,3.33,Rainy
2025-01-27,New York,10.7,71,37.9,0.0,Stormy
2025-01-27,Tokyo,25.2,66,28.3,5.46,Cloudy
2025-01-27,Paris,35.1,79,29.2,0.0,Foggy
2025-01-27,Sydney,44.8,48,13.2,0.0,Partly Cloudy
2025-01-27,Toronto,28.6,28,31.0,0.0,Partly Cloudy
2025-01-27,Berlin,11.1,21,39.8,0.0,Rainy
2025-01-27,Mumbai,15.3,41,21.4,1.33,Partly Cloudy
2025-01-27,Singapore,44.2,95,0.4,0.0,Rainy
2025-01-28,Riyadh,19.3,76,19.3,0.0,Foggy
2025-01-28,Jeddah,24.1,29,2.7,0.0,Sunny
2025-01-28,Dammam,35.4,43,5.3,8.86,Partly Cloudy
2025-01-28,Dubai,21.0,26,5.9,13.08,Rainy
2025-01-28,Doha,10.4,65,7.5,4.07,Windy
2025-01-28,Cairo,19.8,35,29.5,0.0,Sunny
2025-01-28,London,29.4,60,4.3,5.12,Partly Cloudy
2025-01-28,New York,5.3,22,32.4,0.0,Rainy
2025-01-28,Tokyo,15.6,54,15.6,0.0,Partly Cloudy
2025-01-28,Paris,23.3,66,8.2,4.66,Cloudy
2025-01-28,Sydney,8.4,27,1.9,0.65,Cloudy
2025-01-28,Toronto,22.3,63,35.8,0.0,Rainy
2025-01-28,Berlin,20.1,48,34.2,0.0,Partly Cloudy
2025-01-28,Mumbai,44.4,52,5.5,0.0,Stormy
2025-01-28,Singapore,5.2,66,4.5,8.71,Stormy
2025-01-29,Riyadh,14.5,86,21.2,0.0,Rainy
2025-01-29,Jeddah,39.7,26,28.0,1.94,Partly Cloudy
2025-01-29,Dammam,8.3,89,39.4,0.59,Rainy
2025-01-29,Dubai,44.1,21,14.8,10.22,Foggy
2025-01-29,Doha,29.1,48,29.9,0.0,Stormy
2025-01-29,Cairo,32.6,83,36.3,6.2,Sunny
2025-01-29,London,24.5,28,4.7,0.0,Foggy
2025-01-29,New York,22.5,24,24.4,6.11,Sunny
2025-01-29,Tokyo,10.8,59,28.6,0.0,Windy
2025-01-29,Paris,18.6,57,37.3,0.0,Stormy
2025-01-29,Sydney,9.4,60,1.6,0.0,Partly Cloudy
2025-01-29,Toronto,28.9,42,26.0,1.37,Partly Cloudy
2025-01-29,Berlin,40.0,59,17.0,0.0,Rainy
2025-01-29,Mumbai,41.0,28,14.6,1.4,Partly Cloudy
2025-01-29,Singapore,35.3,40,6.9,2.16,Stormy
2025-01-30,Riyadh,31.3,71,35.3,0.0,Stormy
2025-01-30,Jeddah,20.2,59,10.2,0.0,Partly Cloudy
2025-01-30,Dammam,43.2,84,2.8,2.18,Sunny
2025-01-30,Dubai,17.6,76,1.6,5.32,Sunny
2025-01-30,Doha,17.3,29,25.8,0.0,Windy
2025-01-30,Cairo,42.7,39,13.5,0.41,Partly Cloudy
2025-01-30,London,34.5,71,31.8,0.0,Cloudy
